PAYEE_ID,STANDARD_NAME,LAST_CHARGE_DATE,CHARGE_CT,TOTAL_AMOUNT,PERCENT_REIMBURSE,DISPUTE,CANCEL,REVIEW
P21119-435,APPLE,21109,33,-990000,,,,
P21119-494,Starbucks,21060,45,-25385,,,,
P21119-543,Popular Mechanics,20961,1,1000,,,,
P21119-608,Amex Clear,21012,2,20900,,,,
P21119-664,NY TIMES,21094,19,-20592,,,,
P21119-737,"Ombligo, Inc",20347,1,-62802,,,,
P21119-796,VILLAGE BARBER,20322,2,-12420,,,,
P21119-812,"American Giant,",20829,1,-3036,,,,
P21119-3,Lyft,21113,602,-1743041,,,,
P21119-58,GSUITE_CHELSCC@,20941,12,-15855,,,,
P21119-174,AplPay LIBERTY,21051,2,-13541,,,,
P21119-223,MDC SPECIALTY,20316,1,-1206,,,,
P21119-282,Csc Serviceworks,21044,1,220,,,,
P21119-427,PHONE.COM XXXX3514,20335,1,-2342,,,,
P21119-486,Capital,21031,2,-685,,,,
P21119-551,Brooks Brothers,21085,8,-105649,,,,
P21119-721,Hearst,20940,2,-7500,,,,
P21119-780,PwP CNP*,20158,1,-500,,,,
P21119-820,AF FRUIT,21037,1,-1650,,,,
P21119-42,myFICO,21086,32,-104352,,,,
P21119-559,Brown Palace,20219,1,-66441,,,,
P21119-600,PwP zubbpaycom,20876,12,-37008,,,,
P21119-729,OMNY VENDING*,21071,2,-3725,,,,
P21119-788,Giftshophiltonnewyornew York,21034,1,292,,,,
P21119-804,PwP zubbaid.com,20555,1,-1545,,,,
P21119-828,Samsclub.com Xx,20859,2,5416,,,,
P21119-50,CLAUDE.AI SUBSCRIPTISAN,21104,47,-102188,,,,
P21119-215,Spotify,21110,41,-40759,,,,
P21119-239,TWP*SUBXXXX6941 WASHINGTON,20908,3,-36000,,,,
P21119-672,AAA MSHIP,20302,1,-5800,,,,
P21119-12,MEGA LIMITED,21040,14,-30874,,,,
P21119-301,AplPay SULLIVAN,20304,1,-2071,,,,
P21119-505,Iqair North,20676,1,-40175,,,,
P21119-529,PY *BURGER,20776,1,-4653,,,,
P21119-693,Consumer Reports,21041,3,-17700,,,,
P21119-758,Allianz,21050,9,-69603,,,,
P21119-20,Smoke Shop,20540,4,-6376,,,,
P21119-87,AplPay NY,21018,3,-1330,,,,
P21119-244,PHONE.COM XXXX8277,20243,1,-2340,,,,
P21119-317,SLG MAIN,20613,1,-1124,,,,
P21119-373,Tech,21093,1,-12000,,,,
P21119-472,XXXX2 -,20316,2,-9198,,,,
P21119-28,Delivery.com,21085,2,-10935,,,,
P21119-187,SP META,20790,1,-32989,,,,
P21119-252,MP MANHATTAN,20510,1,-2500,,,,
P21119-456,Omnypyg Ny,21044,1,290,,,,
P21119-521,QUICK CHEK,21094,16,-35700,,,,
P21119-750,YEMSANALI GROCERY,20153,1,-468,,,,
P21119-136,PEACOCK*9DDD2 PREMIUNEW,20763,1,-799,,,,
P21119-195,PADDLE.NET* IMAZING,20623,1,-3500,,,,
P21119-309,Chili's,20849,1,-6000,,,,
P21119-464,PURCHASE INTEREST,21115,31,-220187,,,,
P21119-513,PwP Packt,20515,4,-10097,,,,
P21119-742,Yashi Food,21044,2,0,,,,
P21119-766,CLOUD TQZKKV,20790,1,-5,,,,
P21119-83,Exxon,21035,17,-52668,,,,
P21119-199,Macy's,21029,5,-776363,,,,
P21119-240,PHONE.COM XXXX8146,20304,1,-2341,,,,
P21119-313,PEACOCK*D16B5 PREMIUNEW,20152,1,-499,,,,
P21119-468,X57 FRANKLIN,20341,5,-10047,,,,
P21119-517,AXX10BUSD01 MSBILL.INFO,21091,36,-92934,,,,
P21119-746,AplPay BWE,20972,1,-1620,,,,
P21119-256,MTA,20965,1,-290,,,,
P21119-501,Cloud,20972,3,-25,,,,
P21119-525,New York,21071,8,-7545,,,,
P21119-754,AplPay BLINKIST,20803,1,-7999,,,,
P21119-16,CVSExtraCare -XXX-7287,21109,25,-12632,,,,
P21119-132,Chelsea Florists,20899,1,-5095,,,,
P21119-191,PARAMOUNT+,20949,3,-2541,,,,
P21119-305,CTLP*FABER COE,21035,1,-800,,,,
P21119-460,SUPERHUMAN SAN,20891,50,-104000,,,,
P21119-509,CLOUD 6WD89V,20637,1,-5,,,,
P21119-697,Condor,20665,2,-1708880,,,,
P21119-762,PSYCHOTHERAPY.NET SAUSALITO,20542,1,-29700,,,,
P21119-24,Delta,21002,19,-461352,,,,
P21119-183,TESLA MOTORS,20763,2,-19800,,,,
P21119-248,Rocket Lawyer,20485,5,5999,,,,
P21119-377,Techmikeny,20336,3,-1130532,,,,
P21119-452,HEAVENLY FOOD,20826,1,-4557,,,,
P21119-476,Krispy Kreme,20161,1,-1042,,,,
P21119-89,Cash,21026,1,-12360,,,,
P21119-181,SP PLUS,20767,1,-4200,,,,
P21119-319,PEACOCK*E70CB PREMIUNEW,20397,1,-599,,,,
P21119-375,Grindr,21000,6,-7794,,,,
P21119-450,Blue,20248,1,-22421,,,,
P21119-474,LATE FEE,20340,1,-3900,,,,
P21119-523,USPS,21074,6,-11578,,,,
P21119-752,HUDSONST1740,20601,2,-2774,,,,
P21119-14,REMARKABLE OSLO,20880,24,-7824,,,,
P21119-130,AplPay XXX1370,20850,1,-2760,,,,
P21119-197,Panera Bread,20271,2,-2593,,,,
P21119-466,CRAFT COFFEE,20933,31,-121976,,,,
P21119-695,CORA.COMPUTER -,21078,1,-1500,,,,
P21119-760,CLOUD XH9FXF,20821,1,-5,,,,
P21119-22,SMS LIMO,21081,1,-12700,,,,
P21119-81,P.SKOOL.COM/JCJVJ EL,21104,19,-146300,,,,
P21119-138,Tisch Hospital,20347,1,-1633,,,,
P21119-246,PHONE.COM XXXX4452,20458,1,-2398,,,,
P21119-311,Slice,20611,2,-14301,,,,
P21119-515,PwP NYTIMES,21108,22,-15803,,,,
P21119-744,HUDSONSTXXXX 1738,20273,1,-780,,,,
P21119-768,CLOUD W8XMT4,20668,1,-5,,,,
P21119-189,SCRIBD *676300353,21095,1,-1199,,,,
P21119-254,MUNIRA R,21044,2,0,,,,
P21119-303,THE HUNGRY,20555,1,-6988,,,,
P21119-458,AplPay APPLE.COM/BILINTERNET,20548,2,5287,,,,
P21119-507,CLOUD J774SZ,20546,1,-5,,,,
P21119-10,The Weather,21101,19,-10317,,,,
P21119-193,AplPay NEW,21096,13,-62068,,,,
P21119-258,MOXY FRANCHISED,20316,1,-18204,,,,
P21119-307,Dollar Shave,20702,5,-5445,,,,
P21119-462,XXX CAFE,20405,1,-28685,,,,
P21119-691,ASKTRIM.COM WALNUT,20235,1,-9900,,,,
P21119-26,Shell,21108,51,-111809,,,,
P21119-85,CBI*CLEVERBRIDGE.NETXXX-XXX-9570 IL,20802,2,-35406,,,,
P21119-315,CHELSEA SQUARE,20939,3,-17118,,,,
P21119-371,Grindr LLC,20176,5,-3805,,,,
P21119-470,Wal-Mart,21084,25,-339674,,,,
P21119-519,NEWARK AP,20597,2,-1200,,,,
P21119-748,AplPay BIG,21000,1,-3076,,,,
P21119-185,TESCO STORES,21043,1,-2576,,,,
P21119-250,NAHUNTA PORK,20455,1,-7927,,,,
